continent,country_of_birth,persons,women,men,check_sum_jurisdictions,universe,source_table,source_file,source_page
África,Gabón,3,1,2,3,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Gambia,1,0,1,1,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Ghana,103,22,81,103,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Guinea,19,5,14,19,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Guinea Bissau,31,11,20,31,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Guinea Ecuatorial,31,10,21,31,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Kenya,21,11,10,21,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Lesotho,4,3,1,4,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Liberia,18,3,15,18,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Libia,39,23,16,39,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Madagascar,7,4,3,7,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Malawi,2,1,1,2,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Malí,17,5,12,17,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Marruecos,231,90,141,231,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Mauricio,4,1,3,4,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Mauritania,1,1,0,1,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Mozambique,21,15,6,21,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Namibia,2,2,0,2,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Níger,2,1,1,2,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Nigeria,123,39,84,123,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,República Centroafricana,7,4,3,7,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,República Democrática del Congo,50,24,26,50,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Rwanda,6,2,4,6,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Santo Tomé y Príncipe,4,2,2,4,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Senegal,1120,79,1041,1120,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Seychelles,2,1,1,2,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Sierra Leona,9,1,8,9,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Somalia,8,5,3,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Sudáfrica,322,149,173,322,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Sudán,4,3,1,4,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Swazilandia,5,2,3,5,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Tanzanía,12,7,5,12,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
