continent,country_of_birth,total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más,universe,source_table,source_file
Asia,Siria,1324,2,18,38,34,53,77,100,81,77,82,90,109,99,102,96,97,57,63,38,8,3,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Sri Lanka,12,0,0,0,1,0,0,0,1,1,3,2,1,0,0,3,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Tailandia,132,2,6,12,6,2,2,4,8,34,25,9,1,4,6,8,2,0,1,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Taiwan,3018,4,11,11,24,15,119,229,274,325,338,362,333,335,249,213,96,53,21,4,2,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Tayikistán,6,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Timor Leste,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Turkmenistán,23,0,0,0,0,2,2,4,2,2,2,4,1,2,1,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Uzbekistán,42,1,0,0,0,0,3,7,8,0,6,5,2,2,4,0,4,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Viet Nam,89,2,4,3,1,0,11,11,11,10,12,4,5,2,4,2,3,2,2,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Yemen,7,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Asia,Indeterminado ( Asia ),23,0,0,0,0,1,2,2,4,3,2,0,2,3,1,2,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Albania,164,11,7,2,9,9,10,18,15,18,10,9,8,5,7,7,11,2,1,3,2,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Alemania,4087,42,88,129,171,134,196,240,243,277,216,218,247,154,142,291,475,349,255,148,64,8,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Andorra,129,4,12,32,29,5,5,6,2,4,9,2,4,3,4,3,0,4,0,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Austria,679,1,8,6,12,4,18,12,23,16,8,7,15,10,9,157,243,59,39,18,12,2,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Belarús,106,1,0,1,1,5,3,8,7,8,4,8,15,11,1,5,2,5,14,4,2,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Bélgica,703,5,12,21,13,14,21,42,36,58,35,51,45,29,23,74,85,71,39,24,3,2,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Bosnia y Herzegovina,28,0,0,0,0,0,1,1,2,1,5,1,1,1,1,1,5,1,6,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Bulgaria,126,0,2,0,0,0,6,7,9,10,7,12,8,6,1,7,12,12,13,9,4,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Chipre,33,4,5,8,1,1,1,5,2,0,1,0,1,0,1,1,2,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Croacia,674,0,1,1,2,1,6,3,7,4,6,9,7,22,58,79,146,134,98,65,22,3,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Dinamarca,191,2,7,7,2,5,4,7,16,15,12,19,9,3,10,27,30,7,7,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Eslovaquia,100,1,0,1,0,1,1,3,9,3,4,2,3,1,2,6,20,15,12,8,8,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Eslovenia,508,1,0,4,3,1,3,3,3,2,4,0,2,1,12,33,114,157,88,53,22,2,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,España,48492,240,665,3387,3710,694,670,729,689,966,818,616,670,1067,2409,7189,9122,5626,5146,3066,909,104,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Estonia,37,1,0,1,2,0,0,4,0,4,1,1,1,1,1,0,7,7,4,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Ex Checoslovaquia,18,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,3,4,0,1,2,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Ex Yugoslavia,71,0,0,0,0,0,0,0,0,0,0,4,2,2,3,15,11,15,10,8,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Finlandia,70,1,1,2,6,4,5,4,6,5,9,2,4,2,5,2,4,5,1,2,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Francia,3960,42,110,175,198,174,181,316,356,322,263,233,228,151,136,312,292,245,125,64,32,5,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Grecia,694,2,6,18,7,3,7,8,17,23,19,10,10,11,29,82,135,108,122,66,11,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Hungría,415,1,1,3,1,1,4,12,13,10,15,5,6,8,33,36,106,84,49,17,9,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Irlanda,155,5,8,22,17,3,5,7,14,19,11,7,5,10,4,7,7,2,1,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Islandia,11,3,0,0,2,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Italia,68169,65,192,658,955,392,634,634,400,347,348,428,561,908,2736,15743,17646,12788,7635,3746,1184,169,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Letonia,57,0,0,0,0,0,4,5,3,5,3,4,0,4,1,0,9,9,8,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Liechtenstein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Lituania,79,0,0,1,4,1,1,7,5,4,7,3,1,5,2,4,2,6,5,10,10,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Luxemburgo,14,0,0,5,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Macedonia,39,0,1,1,0,1,2,1,1,1,2,2,1,3,3,5,5,2,5,3,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Malta,11,1,0,1,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Moldova,50,0,1,0,1,0,4,9,7,5,2,4,3,5,6,3,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Mónaco,12,0,0,5,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Montenegro,5,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Noruega,105,1,4,12,7,5,4,8,11,8,8,10,4,3,3,2,9,2,2,2,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Países Bajos,683,17,25,21,39,30,35,29,45,67,33,49,36,35,30,49,61,38,28,12,3,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Polonia,1408,3,1,1,5,6,15,25,40,37,24,21,34,36,47,51,127,142,398,243,138,14,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Portugal,3281,3,14,26,35,26,25,21,17,30,31,55,83,188,314,659,678,442,396,161,69,8,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Reino Unido de Gran Bretaña e Irlanda del Norte,1840,32,109,135,158,71,69,87,95,157,169,99,112,94,87,151,131,42,27,11,4,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,República Checa,203,4,8,6,7,3,6,7,12,10,10,7,6,9,12,16,26,15,16,19,4,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Rumania,379,1,5,6,3,3,13,23,28,39,34,9,11,10,11,22,64,37,27,19,13,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Rusia,2169,24,66,107,42,50,126,280,275,187,135,149,172,185,122,73,41,44,61,18,11,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,San Marino,11,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Serbia,140,0,2,2,1,1,2,3,13,9,6,6,3,4,4,9,19,23,16,7,8,2,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Serbia y Montenegro,12,0,0,0,0,0,0,0,1,0,1,2,1,2,0,1,0,0,2,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Suecia,320,5,3,8,13,12,10,26,55,77,16,10,12,7,14,22,16,5,5,3,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Suiza,1139,23,57,79,94,60,69,74,63,76,84,70,86,55,49,58,51,23,38,20,9,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Turquía,606,3,8,3,8,10,14,29,31,38,32,21,26,43,90,88,66,41,27,20,5,3,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Ucrania,3486,113,30,75,42,75,221,308,404,282,277,274,318,390,172,112,63,67,167,77,19,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Vaticano,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Europa,Indeterminado (Europa),100,1,0,5,0,2,2,3,4,3,0,3,1,5,6,16,17,11,11,5,4,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Australia,583,21,35,42,45,27,34,48,51,96,99,23,13,10,14,8,12,2,1,2,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Fiji,5,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Kiribati,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Nauru,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Nueva Zelandia,116,6,8,6,12,5,5,11,11,14,11,5,4,5,4,7,0,1,0,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Papua Nueva Guinea,6,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Samoa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Tonga,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Tuvalu,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Vanuatu,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Oceanía,Indeterminado (Oceanía),2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Otros,Ex Unión Soviética,32,0,0,0,0,0,0,3,2,0,4,2,5,6,4,5,0,0,1,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
Otros,IGNORADO,179239,7945,8411,8851,10067,11923,14023,15296,14218,12989,11717,11233,10575,9313,8481,8360,6956,4376,2569,1403,499,34,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
